# Frame Contacts
30000 48
30010 38
30020 54
30030 40
30040 44
30050 52
30060 44
30070 40
30080 45
30090 41
30100 57
30110 43
30120 46
30130 42
30140 54
30150 49
30160 42
30170 35
30180 50
30190 37
30200 45
30210 54
30220 47
30230 58
30240 57
30250 44
30260 56
30270 51
30280 48
30290 43
30300 41
30310 54
30320 44
30330 39
30340 41
30350 41
30360 51
30370 52
30380 34
30390 51
30400 57
30410 48
30420 49
30430 49
30440 42
30450 48
30460 50
30470 38
30480 44
30490 45
30500 46
30510 50
30520 48
30530 53
30540 45
30550 37
30560 50
30570 50
30580 51
30590 40
30600 37
30610 53
30620 33
30630 43
30640 37
30650 54
30660 64
30670 47
30680 43
30690 50
30700 38
30710 29
30720 36
30730 42
30740 40
30750 44
30760 53
30770 39
30780 49
30790 40
30800 40
30810 46
30820 38
30830 40
30840 44
30850 51
30860 36
30870 41
30880 47
30890 44
30900 51
30910 33
30920 40
30930 43
30940 48
30950 45
30960 41
30970 45
30980 39
30990 47
31000 50
31010 50
31020 49
31030 42
31040 47
31050 42
31060 39
31070 42
31080 38
31090 40
31100 43
31110 48
31120 47
31130 44
31140 35
31150 38
31160 46
31170 46
31180 43
31190 40
31200 34
31210 46
31220 36
31230 56
31240 48
31250 43
31260 51
31270 47
31280 37
31290 41
31300 50
31310 36
31320 41
31330 37
31340 44
31350 45
31360 37
31370 46
31380 40
31390 35
31400 37
31410 50
31420 49
31430 44
31440 43
31450 33
31460 48
31470 42
31480 37
31490 42
31500 36
31510 35
31520 47
31530 45
31540 44
31550 38
31560 38
31570 47
31580 40
31590 42
31600 45
31610 54
31620 40
31630 56
31640 35
31650 44
31660 49
31670 52
31680 46
31690 34
31700 45
31710 47
31720 40
31730 49
31740 39
31750 46
31760 33
31770 46
31780 41
31790 47
31800 43
31810 48
31820 45
31830 41
31840 43
31850 39
31860 49
31870 47
31880 44
31890 48
31900 40
31910 31
31920 41
31930 33
31940 41
31950 42
31960 36
31970 44
31980 43
31990 41
32000 47
32010 39
32020 44
32030 49
32040 47
32050 49
32060 46
32070 54
32080 40
32090 46
32100 50
32110 53
32120 41
32130 48
32140 46
32150 37
32160 53
32170 51
32180 36
32190 45
32200 30
32210 53
32220 44
32230 36
32240 48
32250 38
32260 38
32270 34
32280 41
32290 42
32300 42
32310 46
32320 40
32330 40
32340 49
32350 41
32360 45
32370 52
32380 44
32390 39
32400 35
32410 37
32420 47
32430 40
32440 47
32450 43
32460 59
32470 35
32480 35
32490 41
32500 40
32510 34
32520 38
32530 35
32540 39
32550 34
32560 47
32570 38
32580 46
32590 36
32600 38
32610 40
32620 44
32630 44
32640 36
32650 36
32660 46
32670 41
32680 33
32690 30
32700 41
32710 34
32720 40
32730 32
32740 37
32750 36
32760 36
32770 35
32780 43
32790 45
32800 39
32810 43
32820 54
32830 47
32840 44
32850 54
32860 46
32870 43
32880 51
32890 51
32900 50
32910 45
32920 41
32930 51
32940 38
32950 57
32960 46
32970 41
32980 54
32990 48
33000 44
33010 55
33020 30
33030 41
33040 55
33050 45
33060 46
33070 52
33080 48
33090 53
33100 51
33110 47
33120 51
33130 55
33140 50
33150 49
33160 53
33170 48
33180 42
33190 44
33200 49
33210 49
33220 52
33230 52
33240 51
33250 43
33260 54
33270 57
33280 59
33290 44
33300 43
33310 54
33320 49
33330 47
33340 53
33350 46
33360 57
33370 49
33380 49
33390 56
33400 51
33410 49
33420 50
33430 50
33440 50
33450 49
33460 57
33470 51
33480 46
33490 44
33500 59
33510 58
33520 42
33530 57
33540 43
33550 49
33560 49
33570 39
33580 42
33590 43
33600 49
33610 48
33620 47
33630 48
33640 41
33650 52
33660 40
33670 49
33680 30
33690 39
33700 45
33710 38
33720 42
33730 43
33740 32
33750 31
33760 45
33770 44
33780 44
33790 45
33800 29
33810 40
33820 37
33830 27
33840 27
33850 36
33860 36
33870 42
33880 33
33890 33
33900 38
33910 31
33920 37
33930 54
33940 58
33950 34
33960 61
33970 47
33980 50
33990 43
34000 34
34010 48
34020 40
34030 52
34040 54
34050 45
34060 46
34070 41
34080 45
34090 45
34100 55
34110 39
34120 53
34130 40
34140 58
34150 65
34160 58
34170 40
34180 52
34190 35
34200 36
34210 49
34220 52
34230 57
34240 48
34250 55
34260 51
34270 33
34280 40
34290 22
34300 23
34310 30
34320 35
34330 40
34340 43
34350 36
34360 40
34370 35
34380 40
34390 39
34400 35
34410 41
34420 40
34430 31
34440 27
34450 38
34460 33
34470 27
34480 40
34490 31
34500 41
34510 38
34520 32
34530 30
34540 35
34550 50
34560 38
34570 47
34580 34
34590 40
34600 39
34610 39
34620 41
34630 41
34640 41
34650 43
34660 45
34670 47
34680 38
34690 30
34700 29
34710 31
34720 51
34730 39
34740 40
34750 36
34760 32
34770 45
34780 34
34790 50
34800 46
34810 38
34820 44
34830 41
34840 36
34850 47
34860 37
34870 34
34880 37
34890 28
34900 42
34910 39
34920 41
34930 30
34940 45
34950 45
34960 39
34970 41
34980 39
34990 32
35000 47
35010 40
35020 43
35030 47
35040 47
35050 40
35060 45
35070 39
35080 40
35090 42
35100 39
35110 41
35120 41
35130 43
35140 33
35150 45
35160 43
35170 32
35180 50
35190 40
35200 45
35210 31
35220 68
35230 47
35240 39
35250 43
35260 47
35270 41
35280 43
35290 36
35300 54
35310 45
35320 43
35330 52
35340 50
35350 40
35360 44
35370 48
35380 39
35390 41
35400 39
35410 38
35420 38
35430 37
35440 44
35450 41
35460 33
35470 36
35480 34
35490 33
35500 33
35510 35
35520 50
35530 35
35540 35
35550 38
35560 38
35570 47
35580 38
35590 44
35600 38
35610 44
35620 41
35630 49
35640 44
35650 42
35660 42
35670 42
35680 43
35690 50
35700 48
35710 42
35720 39
35730 48
35740 35
35750 38
35760 47
35770 37
35780 37
35790 49
35800 35
35810 39
35820 36
35830 44
35840 32
35850 33
35860 41
35870 39
35880 38
35890 41
35900 34
35910 40
35920 41
35930 46
35940 35
35950 47
35960 44
35970 39
35980 39
35990 47
36000 41
36010 35
36020 40
36030 41
36040 40
36050 64
36060 42
36070 49
36080 40
36090 40
36100 38
36110 37
36120 42
36130 35
36140 42
36150 41
36160 36
36170 49
36180 42
36190 37
36200 41
36210 47
36220 47
36230 43
36240 58
36250 32
36260 42
36270 41
36280 32
36290 45
36300 42
36310 43
36320 35
36330 37
36340 43
36350 41
36360 54
36370 33
36380 49
36390 45
36400 35
36410 44
36420 41
36430 43
36440 45
36450 36
36460 44
36470 38
36480 51
36490 49
36500 40
36510 52
36520 46
36530 38
36540 47
36550 36
36560 39
36570 41
36580 45
36590 52
36600 45
36610 38
36620 28
36630 34
36640 33
36650 42
36660 39
36670 36
36680 37
36690 42
36700 41
36710 42
36720 47
36730 33
36740 43
36750 55
36760 41
36770 45
36780 46
36790 48
36800 53
36810 47
36820 34
36830 42
36840 43
36850 44
36860 45
36870 38
36880 39
36890 34
36900 49
36910 37
36920 45
36930 35
36940 47
36950 43
36960 44
36970 43
36980 53
36990 42
37000 46
37010 41
37020 36
37030 52
37040 44
37050 57
37060 36
37070 44
37080 36
37090 40
37100 36
37110 37
37120 40
37130 45
37140 48
37150 45
37160 40
37170 51
37180 43
37190 43
37200 42
37210 39
37220 44
37230 48
37240 51
37250 43
37260 42
37270 51
37280 47
37290 52
37300 50
37310 39
37320 40
37330 42
37340 49
37350 44
37360 41
37370 51
37380 47
37390 40
37400 41
37410 39
37420 47
37430 43
37440 53
37450 45
37460 37
37470 45
37480 33
37490 41
37500 39
37510 43
37520 36
37530 47
37540 33
37550 40
37560 33
37570 52
37580 36
37590 42
37600 43
37610 50
37620 55
37630 52
37640 47
37650 51
37660 41
37670 43
37680 55
37690 44
37700 60
37710 52
37720 46
37730 53
37740 58
37750 42
37760 50
37770 43
37780 48
37790 42
37800 49
37810 59
37820 52
37830 47
37840 43
37850 39
37860 46
37870 38
37880 44
37890 49
37900 49
37910 50
37920 41
37930 44
37940 52
37950 43
37960 41
37970 49
37980 45
37990 42
38000 41
38010 44
38020 40
38030 46
38040 56
38050 52
38060 38
38070 34
38080 41
38090 46
38100 37
38110 50
38120 49
38130 51
38140 52
38150 37
38160 48
38170 53
38180 45
38190 54
38200 48
38210 44
38220 49
38230 47
38240 44
38250 53
38260 59
38270 51
38280 48
38290 49
38300 56
38310 38
38320 56
38330 43
